seed,epoch,steps_per_epoch,global_step,wall_time_sec,train_loss,val_loss,val_ratio,avg_last_k_val_ratio,alignment,uniformity,lr_now,ckpt_last_path,ckpt_best_path,best_epoch,best_avg_last_k_val_ratio
13,1,88,88,179.64214086532593,5.585438359867442,4.225227427044775,0.6797942978670767,0.6797942978670767,0.16984574869275093,-0.6502156257629395,5.5265995627682024e-05,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,2,88,176,121.241286277771,4.858369480479848,2.8601000100423977,0.4602888612409147,0.5700415795539957,0.20318885892629623,-1.0037686824798584,0.00010953199125536405,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,3,88,264,125.47533655166626,4.1185039986263625,2.1199746400963684,0.3413520149825428,0.49381172469684476,0.290610146522522,-1.547492790222168,0.00016379798688304607,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,4,88,352,90.29784989356995,3.601934427564794,1.7276364867396665,0.2781565858563304,0.43989793998671617,0.32919932901859283,-1.9273858070373535,0.0002180639825107281,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,5,88,440,89.39134311676025,3.279324626380747,1.532156063797876,0.2466814457514354,0.40125464113966,0.33396737575531005,-2.1128875732421877,0.00027232997813841014,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,6,88,528,109.6019549369812,2.9345334443179043,1.338488705767216,0.21556445006688976,0.3703062759608649,0.36657051742076874,-2.4297518730163574,0.0003265959737660922,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,7,88,616,104.55421447753906,2.6486165062947706,1.1354883529507058,0.1829827916191424,0.34354577819776166,0.3714461624622345,-2.5688836574554443,0.0003808619693937742,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,8,88,704,93.09770631790161,2.4221879866990177,1.0722610515823747,0.17274176423507162,0.3221952764524254,0.3919278383255005,-2.7397579193115233,0.00043512796502145624,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,9,88,792,86.79290175437927,2.228343986652114,0.9397889798790067,0.15139065247201092,0.303216984899046,0.40732190012931824,-2.8564398288726807,0.0004893939606491382,checkpoints/simclr_phase2/phase2_seed13_last.pth,,-1,inf
13,10,88,880,86.7002866268158,2.0157115066593345,0.9483843584888566,0.15266330952867777,0.2881616173620092,0.38717451095581057,-2.9373741149902344,0.0005436599562768203,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,10,0.2881616173620092
13,11,88,968,101.60544514656067,1.829274128783833,0.8054994516659261,0.12961617294507746,0.23314380486980935,0.40661559253931046,-3.0730409622192383,0.0005979259519045023,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,11,0.23314380486980935
13,12,88,1056,93.39591407775879,1.6707124263048172,0.7256623215786802,0.11675707267052504,0.1987906260127704,0.3993538171052933,-3.123882532119751,0.0006521919475321843,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,12,0.1987906260127704
13,13,88,1144,88.85087728500366,1.4809221354397861,0.7658293443848573,0.12337449941349768,0.1769928744558659,0.3957710862159729,-3.2216140747070314,0.0007064579431598664,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,13,0.1769928744558659
13,14,88,1232,112.91313338279724,1.3503876450386914,0.7030152338574048,0.11310931866651368,0.1604881477368842,0.384978711605072,-3.191251516342163,0.0007607239387875484,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,14,0.1604881477368842
13,15,88,1320,92.73000168800354,1.2306614396246998,0.6226851307490036,0.10015300425004976,0.14583530358674562,0.386598140001297,-3.2893362045288086,0.0008149899344152304,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,15,0.14583530358674562
13,16,88,1408,87.1558313369751,1.1502533914013342,0.6065490927540997,0.09748364022020219,0.13402722260207686,0.3817870318889618,-3.28016996383667,0.0008692559300429125,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,16,0.13402722260207686
13,17,88,1496,90.20130014419556,1.047761318358508,0.6249480886929023,0.10043410285248601,0.1257723537254112,0.3656119555234909,-3.2875099182128906,0.0009235219256705945,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,17,0.1257723537254112
13,18,88,1584,93.54526138305664,0.9492721036076546,0.5733876531828624,0.09217111712204919,0.11771528901410896,0.3628662765026093,-3.3233633041381836,0.0009777879212982763,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,18,0.11771528901410896
13,19,88,1672,85.21141743659973,0.8827918530865149,0.5470081040576623,0.08787250776956995,0.11136347454386486,0.3517298325896263,-3.3484416007995605,0.0010320539169259583,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,19,0.11136347454386486
13,20,88,1760,90.37537860870361,0.83805381574414,0.49872408235610427,0.08019791568815388,0.10411693515981249,0.37105152010917664,-3.3625144958496094,0.0010863199125536404,checkpoints/simclr_phase2/phase2_seed13_last.pth,checkpoints/simclr_phase2/phase2_seed13_best.pth,20,0.10411693515981249
