epoch,train_loss,val_soft,val_hard05,avg_last_k_soft,lr_enc,lr_dec
1,0.14572653858998327,0.714033968298881,0.8279659375759815,0.714033968298881,0.0025430776753655776,0.008622439939489036
2,0.11413917207231047,0.7182383000301835,0.861846190384544,0.7161361341645323,0.0025430776753655776,0.008622439939489036
3,0.10371099475409484,0.7245269917439863,0.8740058341688757,0.7189330866910169,0.0025430776753655776,0.008622439939489036
4,0.09788677624930396,0.7345849367131468,0.8737759762899158,0.7228460491965494,0.0025430776753655776,0.008622439939489036
5,0.09495110291536187,0.7186354799200788,0.889104906665319,0.7220039353412553,0.0025430776753655776,0.008622439939489036
6,0.08993253939666915,0.7333454800648412,0.8784909221288534,0.7238941927951862,0.0025430776753655776,0.008622439939489036
7,0.08945872200472105,0.7275736274589506,0.8858290957294087,0.724419826318581,0.0007629233026096733,0.002586731981846711
8,0.08011570554239837,0.742823502418425,0.8878767220525883,0.7267202858310615,0.0007629233026096733,0.002586731981846711
9,0.07962812499811808,0.7405939382650207,0.8890142262482376,0.7282618027681681,0.0007629233026096733,0.002586731981846711
10,0.07748462282738983,0.7418494487921389,0.8851966654121888,0.7296205673705651,0.0007629233026096733,0.002586731981846711
11,0.07671660010608522,0.7398839848172013,0.8976073766591572,0.7322055690223973,0.000228876990782902,0.0007760195945540132
12,0.07274635126886851,0.7423908059099668,0.9003599154135368,0.7346208196103755,0.000228876990782902,0.0007760195945540132
13,0.07204787607927174,0.7433023280548072,0.896152189060639,0.7364983532414577,0.000228876990782902,0.0007760195945540132
14,0.07086313741504724,0.7431937505994831,0.8936891937894038,0.7373592346300913,0.000228876990782902,0.0007760195945540132
15,0.07229474884432144,0.743396061016029,0.900226717202405,0.7398352927396863,0.000228876990782902,0.0007760195945540132
16,0.07158443521547199,0.7465091981424427,0.8973107396860454,0.7411516645474465,0.000228876990782902,0.0007760195945540132
17,0.07026921439860452,0.7459055314964625,0.894340089406499,0.7429848549511977,0.000228876990782902,0.0007760195945540132
18,0.07092617864408322,0.7438718450711247,0.8965527485130239,0.7430896892164677,0.000228876990782902,0.0007760195945540132
19,0.07048220642592196,0.7425162408289457,0.8998425943824931,0.7432819194728602,6.866309723487059e-05,0.00023280587836620395
20,0.06978672812412302,0.7444460663767236,0.899153493521495,0.7435415812313186,6.866309723487059e-05,0.00023280587836620395
21,0.06939274580881243,0.7441561072005988,0.9019765615066551,0.7439687934696584,6.866309723487059e-05,0.00023280587836620395
22,0.06980268077292526,0.743535956370649,0.904650615252801,0.7440833085157266,2.0598929170461176e-05,6.984176350986118e-05
23,0.06844050764065951,0.7440327731988864,0.9040726386247879,0.7441563530301345,2.0598929170461176e-05,6.984176350986118e-05
24,0.0693524433953343,0.7439427314539174,0.9044995927254503,0.744231251115578,2.0598929170461176e-05,6.984176350986118e-05
25,0.0678596358923182,0.7452584426969799,0.9056194303828866,0.7444174892836731,6.179678751138353e-06,2.0952529052958352e-05
26,0.06866848698013919,0.7446782565856033,0.9033597610232466,0.7442343951279891,6.179678751138353e-06,2.0952529052958352e-05
27,0.06953873388960292,0.7449642472723204,0.9000479238061938,0.744140266705575,6.179678751138353e-06,2.0952529052958352e-05
28,0.06823384301363365,0.7456509796784373,0.9014543106640531,0.7443181801663062,1.8539036253415058e-06,6.285758715887505e-06
29,0.0689939312573488,0.7441463469760103,0.9034956269751052,0.7444811907810126,1.8539036253415058e-06,6.285758715887505e-06
30,0.06922221698347429,0.7453879806510046,0.9008942046827082,0.7445753822084408,1.8539036253415058e-06,6.285758715887505e-06
