epoch,train_loss,val_loss,val_soft,val_hard05,avg_last_k_soft,lr_enc,lr_dec
1,0.18117722514607568,0.11595515821732344,0.704032877256133,0.8328118415827278,0.704032877256133,0.0020111917754812732,0.0070438813370146194
2,0.13061005473506526,0.10480073368012009,0.7112745111419482,0.8385427608714067,0.7076536941990406,0.0020111917754812732,0.0070438813370146194
3,0.11654011799850252,0.09654370788640292,0.7169752473692613,0.8626207014158535,0.7107608785891141,0.0020111917754812732,0.0070438813370146194
4,0.11086646222438819,0.10380905020316575,0.7148809069196984,0.8554287101072142,0.7117908856717602,0.0020111917754812732,0.0070438813370146194
5,0.1040097911776823,0.0870266055125426,0.7239935882915066,0.8759517627318882,0.7142314261957095,0.0020111917754812732,0.0070438813370146194
6,0.101070808533191,0.09063149338373556,0.7243239387025581,0.8602910160222316,0.7159135116135177,0.0020111917754812732,0.0070438813370146194
7,0.09667571719463923,0.07970331093803272,0.7308294487984941,0.8843216776872717,0.7180443597828,0.0020111917754812732,0.0070438813370146194
8,0.09490138030803051,0.0854989854093386,0.7323603162983547,0.8596499476489022,0.7198338543472443,0.0020111917754812732,0.0070438813370146194
9,0.09347382388628814,0.08986699746327727,0.7240511415637438,0.8526541569796198,0.7203024418157443,0.0020111917754812732,0.0070438813370146194
10,0.08962787325942162,0.07826076859424827,0.7370126298855748,0.8756130792312511,0.7219734606227274,0.0020111917754812732,0.0070438813370146194
11,0.09000674152679472,0.07939550917415268,0.7334085423634613,0.8763017355102782,0.7249110271334602,0.0020111917754812732,0.0070438813370146194
12,0.08944462354325977,0.08208548966950685,0.7316971329220404,0.8766293077367375,0.7269532893114693,0.0020111917754812732,0.0070438813370146194
13,0.0882303394459077,0.08198283735619165,0.7327961737478933,0.8821833460082953,0.7285353819493325,0.000603357532644382,0.0021131644011043857
14,0.07906866706854945,0.07316012110604667,0.7419485360671625,0.8761666095715159,0.7312421448640789,0.000603357532644382,0.0021131644011043857
15,0.07777814133703963,0.07533609899186929,0.7391764342850183,0.8891552452254815,0.7327604294634301,0.000603357532644382,0.0021131644011043857
16,0.07674969992026803,0.07267027086825523,0.7400222944740582,0.8947250862950165,0.7343302650405802,0.000603357532644382,0.0021131644011043857
17,0.07650533973679612,0.0739044119549514,0.7362026188319287,0.8927577698570214,0.7348675820439237,0.00018100725979331458,0.0006339493203313157
18,0.07267432678741693,0.07208475580995588,0.7363557529606186,0.8939276239908447,0.73526712571015,0.00018100725979331458,0.0006339493203313157
19,0.07313141308746002,0.07208392852932861,0.7376908860351262,0.8915468091758504,0.7366311001572882,0.00018100725979331458,0.0006339493203313157
20,0.07251868624844761,0.07220911140831962,0.7409089669527312,0.8941017496367815,0.7370207338640038,5.430217793799437e-05,0.0001901847960993947
21,0.07086091767534519,0.07085416908803488,0.7323738101905971,0.8946822215799005,0.7369172606467174,5.430217793799437e-05,0.0001901847960993947
22,0.07115935450677201,0.0716910799079029,0.7380476452625949,0.8991615994347573,0.737552311880773,5.430217793799437e-05,0.0001901847960993947
23,0.07104468237658834,0.07052965885360969,0.7418826258634038,0.8957090263176322,0.7384609570923241,1.629065338139831e-05,5.7055438829818405e-05
24,0.07134352343369468,0.07137189115427173,0.7416170871288722,0.8988834931974629,0.738427812198495,1.629065338139831e-05,5.7055438829818405e-05
25,0.07098950022563581,0.07103692549397432,0.741510272729024,0.8968042408684471,0.7386611960428955,1.629065338139831e-05,5.7055438829818405e-05
26,0.07093239112537351,0.0706014945729945,0.7426535239290813,0.898218687309125,0.7389243189883978,1.629065338139831e-05,5.7055438829818405e-05
27,0.07086161236410062,0.07056915321463536,0.7419509583428807,0.8990993028491882,0.739499152939493,1.629065338139831e-05,5.7055438829818405e-05
28,0.07160979552784556,0.07074044159238844,0.7383735418982822,0.8983284534716152,0.7397009318332592,1.629065338139831e-05,5.7055438829818405e-05
29,0.07125349500969655,0.07042256475788523,0.7426197924599898,0.8968079113204829,0.7401938224757456,4.887196014419493e-06,1.711663164894552e-05
30,0.07061406637823789,0.07022057378132873,0.7396222528334916,0.8978083110612598,0.7400651510638218,4.887196014419493e-06,1.711663164894552e-05
