variant,best_val_soft_mean,best_val_soft_sd,best_val_soft_mean±sd,best_val_hard05_mean,best_val_hard05_sd,best_val_hard05_mean±sd,final_val_soft_mean,final_val_soft_sd,final_val_soft_mean±sd,final_val_hard05_mean,final_val_hard05_sd,final_val_hard05_mean±sd,best_epoch_mean,best_epoch_sd,best_epoch_mean±sd
Freeze,0.6814441085535501,0.00027687036485807693,0.6814 ± 0.0003,0.7119306516094435,0.001399625014327051,0.7119 ± 0.0014,0.6814492166361839,0.0006703766812602149,0.6814 ± 0.0007,0.7114358034315947,0.002663495277368947,0.7114 ± 0.0027,28.333333333333332,2.081665999466133,28.3333 ± 2.0817
Finetune,0.743162930352094,0.0018018405378615254,0.7432 ± 0.0018,0.8987587850229214,0.003448043452115346,0.8988 ± 0.0034,0.7428166809858875,0.0028689418136803183,0.7428 ± 0.0029,0.8991997350242573,0.003089240121509813,0.8992 ± 0.0031,29.0,1.0,29.0000 ± 1.0000
