epoch,train_loss,lr_enc,lr_dec
1,0.17031731288437177,0.0020098143264988036,0.007039055324964599
2,0.1222579420971986,0.0020056857550433114,0.007024590516578119
3,0.1114285788632864,0.0019988173772421823,0.0070005265588895275
4,0.10783309366866406,0.001989228018841554,0.006966929409534184
5,0.1023726534175317,0.001976943963606255,0.006923891155963162
6,0.0973494401287861,0.0019619988812778306,0.006871529763037949
7,0.09577716536265105,0.0019444337352881227,0.006809988749696955
8,0.09263210216343627,0.0019242966704813517,0.006739436795580086
9,0.09197538776512028,0.0019016428811524423,0.00666006727868957
10,0.08854068112845191,0.0018765344597632997,0.006572097745354297
11,0.08670699402447486,0.0018490402267516857,0.006475769313950449
12,0.08588321456972402,0.0018192355418991852,0.0063713460140127996
13,0.08580978958516641,0.0017872020977752806,0.006259114062548102
14,0.08406833123103324,0.0017530276958236978,0.006139381079534173
15,0.08444439646472061,0.0017168060057047528,0.0060124752447549175
16,0.08239878060177286,0.001678636308553323,0.005878744398282349
17,0.08116939400925356,0.001638623224856157,0.005738555087071131
18,0.07982426965247853,0.0015968764276943933,0.005592291560278854
19,0.07777839991146318,0.0015535103421372683,0.005440354716065803
20,0.07839850317780045,0.0015086438316109542,0.005283161002760964
21,0.07774833638165077,0.001462399872102171,0.005121141277406106
22,0.07707624455496613,0.001414905215089554,0.004954739624806574
23,0.07639288732569866,0.0013662900401266616,0.004784412140325706
24,0.07552332597527098,0.0013166875980288673,0.004610625679759143
25,0.07495655351142412,0.0012662338456421382,0.004433856579715553
26,0.07397475157828258,0.0012150670731947686,0.004254589352011084
27,0.07474459849008928,0.0011633275252534788,0.0040733153556561635
28,0.07307780621682897,0.001111157016322803,0.003890531450074597
29,0.07284367120870212,0.0010586985421413928,0.0037067386332464303
30,0.07100327609477562,0.0010060958877406365,0.0035224406685073102
31,0.07157619542515696,0.0009534932333398798,0.003338142703768189
32,0.07060126860035078,0.0009010347591584699,0.003154349886940023
33,0.0700666694383187,0.0008488642502277941,0.0029715659813584557
34,0.06998815190499283,0.0007971247022865039,0.002790291985003534
35,0.06795854600162732,0.0007459579298391347,0.002611024757299066
36,0.06880673062806957,0.0006955041774524055,0.0024342556572554755
37,0.06776336641243201,0.0006459017353546113,0.0022604691966889136
38,0.06732042298741983,0.0005972865603917189,0.0020901417122080454
39,0.06750063392658892,0.0005497919033791016,0.0019237400596085123
40,0.06733082010362935,0.0005035479438703185,0.0017617203342536554
41,0.06653380719187188,0.0004586814333440046,0.0016045266209488175
42,0.06525727850822115,0.0004153153477868794,0.0014525897767357656
43,0.06508890974996273,0.0003735685506251159,0.0013063262499434889
44,0.06559909654732267,0.00033355546692794995,0.0011661369387322715
45,0.06483145440591777,0.00029538576977651966,0.0010324060922597019
46,0.0644915244671445,0.00025916407965757485,0.0009055002574804473
47,0.06394430464926235,0.00022498967770599192,0.0007857672744665182
48,0.06417003614438677,0.00019295623358208733,0.0006735353230018208
49,0.06373822035032496,0.00016315154872958686,0.0005691120230641709
50,0.06301036965712738,0.00013565731571797292,0.000472783591660323
51,0.06367504175575228,0.0001105488943288301,0.0003848140583250494
52,0.06325143737571597,8.789510499992045e-05,0.0003054445414345327
53,0.06326120883314981,6.775804019314948e-05,0.00023489258731766423
54,0.06245411383232873,5.019289420344204e-05,0.00017335157397667112
55,0.062207874894440546,3.524781187501755e-05,0.00012099018105145746
56,0.06264482655600925,2.2963756639718413e-05,7.795192748043593e-05
57,0.06223859689845348,1.3374398239090475e-05,4.4354778125092744e-05
58,0.06253759649690609,6.5060204379613404e-06,2.0290820436500307e-05
59,0.06239190444499441,2.377448982469303e-06,5.8260120500195555e-06
60,0.06290230119323477,1e-06,1e-06
