epoch,train_loss,val_loss,val_soft,val_hard05,avg_last_k_soft,lr_enc,lr_dec
1,0.171158515508716,0.11003638310902107,0.696450737506798,0.8377988552808363,0.696450737506798,0.004823252452758972,0.004823252452758972
2,0.12801483596893068,0.12476987004877133,0.6803378802906094,0.8188302203241692,0.6883943088987037,0.004823252452758972,0.004823252452758972
3,0.11892046854428366,0.10446449110225366,0.7090068176861398,0.8484163075984021,0.6952651451611823,0.004823252452758972,0.004823252452758972
4,0.10985725559030018,0.10066699967758484,0.7122005529266366,0.8497278979704257,0.6994989971025459,0.004823252452758972,0.004823252452758972
5,0.10487536355218989,0.09194767321887518,0.7159315712065848,0.862188049658312,0.7027855119233537,0.004823252452758972,0.004823252452758972
6,0.10368647463355504,0.09466752783085945,0.7304121793112492,0.8267962598840461,0.707389956488003,0.004823252452758972,0.004823252452758972
7,0.09937017775068047,0.0784215482626614,0.7357987454120624,0.866974199166481,0.7114483549057258,0.004823252452758972,0.004823252452758972
8,0.09652974947969964,0.08327204233815953,0.7258871252230292,0.85549583066883,0.7132532011953887,0.004823252452758972,0.004823252452758972
9,0.093663842960241,0.07560610528382315,0.7363804552411795,0.8699839473168719,0.7158228960893654,0.004823252452758972,0.004823252452758972
10,0.0915999264581829,0.08095836319987085,0.7295955934986248,0.8749610531310207,0.7172001658302914,0.004823252452758972,0.004823252452758972
11,0.09156430226796908,0.0826001411089316,0.7255386804499491,0.8817340668732415,0.7201089601246065,0.004823252452758972,0.004823252452758972
12,0.0888641855184068,0.07506198935795308,0.7205224247478285,0.8819723133700519,0.7241274145703285,0.004823252452758972,0.004823252452758972
13,0.08918083718059756,0.07748120483850597,0.7218293555889385,0.8902944782042941,0.7254096683606083,0.00337627671693128,0.00337627671693128
14,0.08316378083000792,0.07378103804707727,0.7334950091245775,0.8749104323888661,0.7275391139804024,0.00337627671693128,0.00337627671693128
15,0.08349440736128083,0.0785159907277319,0.7288216511425073,0.8815339946488108,0.7288281219739945,0.00337627671693128,0.00337627671693128
16,0.08268716197381629,0.07371103512822885,0.7093093407273492,0.892896447804615,0.7267178381156046,0.00337627671693128,0.00337627671693128
17,0.08125152247066193,0.07049957463060676,0.7327231189842415,0.8974412945952758,0.7264102754728224,0.0023633937018518957,0.0023633937018518957
18,0.07879780184292624,0.06652454692055666,0.7428973741344299,0.8890612804332441,0.7281113003639625,0.0023633937018518957,0.0023633937018518957
19,0.07723686560882745,0.06624541726454669,0.7420487718012974,0.889110751532155,0.7286781320199742,0.0023633937018518957,0.0023633937018518957
20,0.07752960913464532,0.06982555514783015,0.7387928310389908,0.897287350783563,0.7295978557740109,0.0023633937018518957,0.0023633937018518957
21,0.07680385605768955,0.06835351543553883,0.7380391333656439,0.8998101320609028,0.7308479010655804,0.0023633937018518957,0.0023633937018518957
22,0.07583290042078242,0.06681448094832877,0.7255633606238039,0.8926035456247441,0.7313519946531779,0.0016543755912963268,0.0016543755912963268
23,0.07414687845512485,0.06555879092176689,0.7363933652888156,0.9078402098013284,0.7328083956231657,0.0016543755912963268,0.0016543755912963268
24,0.07293239158730135,0.06570017201474593,0.7413090083754321,0.8941094344267264,0.7335897955482511,0.0016543755912963268,0.0016543755912963268
25,0.07237778624110187,0.0656752828664095,0.742756029829159,0.8987868590824593,0.7349832334169163,0.0016543755912963268,0.0016543755912963268
26,0.07344757832903812,0.06517291569550566,0.746180616475903,0.8919396380649783,0.7386703609917716,0.0016543755912963268,0.0016543755912963268
27,0.07269224053684702,0.06395937928771336,0.7451093823563475,0.8930869369554599,0.7399089873289822,0.0016543755912963268,0.0016543755912963268
28,0.07175548164874104,0.06417416864524103,0.7353074136779384,0.8969297703697606,0.7391499912833333,0.0016543755912963268,0.0016543755912963268
29,0.07091065829104566,0.0657389336018411,0.7305189109704331,0.896208498553561,0.7379970052002468,0.0016543755912963268,0.0016543755912963268
30,0.07071103567244313,0.06759970863792852,0.7390425661370432,0.8825424830583181,0.7380219787100522,0.0011580629139074288,0.0011580629139074288
