epoch,train_loss,val_loss,val_soft,val_hard05,avg_last_k_soft,lr_enc,lr_dec
1,0.22973335007354775,0.16500099867532567,0.6630635568298374,0.6987728497134786,0.6630635568298374,0.0,0.0070438813370146194
2,0.2027820918965137,0.15753707963357585,0.6709190565032359,0.7031185849363659,0.6669913066665367,0.0,0.0070438813370146194
3,0.20335833020745905,0.1573718442741738,0.6681822064583763,0.7034942539084482,0.6673882732638167,0.0,0.0070438813370146194
4,0.19470009743681535,0.15481953121385908,0.671735195891515,0.706822288444026,0.6684750039207412,0.0,0.0070438813370146194
5,0.19283627861784672,0.1514207439649483,0.6768905800697277,0.7073801555193813,0.6701581191505385,0.0,0.0070438813370146194
6,0.1917668639304028,0.15464770507334866,0.6765815161099387,0.702517656902434,0.6712286853104384,0.0,0.0070438813370146194
7,0.18811527914733941,0.15406828105748197,0.6742681583790777,0.702740819503842,0.6716628957488154,0.0,0.0070438813370146194
8,0.18592000192441813,0.15238232385734088,0.6744409420538401,0.7061315469885099,0.6720101515369435,0.0,0.0021131644011043857
9,0.17917373628057884,0.14811618200725626,0.679214229433407,0.7086180220158783,0.6728106046365506,0.0,0.0021131644011043857
10,0.17929863885393554,0.14570673944954085,0.6804655149170914,0.7097414264057562,0.6735760956646046,0.0,0.0021131644011043857
11,0.17774521020880665,0.1479606132774003,0.6794617255195783,0.7078631339312136,0.6752159125335788,0.0,0.0021131644011043857
12,0.17771549049756952,0.1472720676650587,0.6779002892422507,0.7113591530064691,0.6759140358074803,0.0,0.0021131644011043857
13,0.17632895347435876,0.14642815267502365,0.6816826049724317,0.7112547758722446,0.6772640756588858,0.0,0.0021131644011043857
14,0.1775499726919567,0.14708402696157338,0.6800115072871178,0.7089729357553058,0.6780917067984461,0.0,0.0021131644011043857
15,0.17700945117070604,0.14875311910210548,0.6776050284172942,0.7088162044323978,0.6781631516332027,0.0,0.0021131644011043857
16,0.17773845642910707,0.14611898103421042,0.6802782745245931,0.7090565379809768,0.6785328274746681,0.0,0.0006339493203313157
17,0.17523301968352326,0.14507391257755745,0.6821806260536212,0.7109171275055285,0.6793240742421225,0.0,0.0006339493203313157
18,0.1733922440740844,0.14474454589797578,0.6814135992107369,0.711262394704511,0.6800213399578122,0.0,0.0006339493203313157
19,0.17288925863068463,0.14452427900295226,0.6807746904458266,0.7116862830539857,0.6801773860590541,0.0,0.0006339493203313157
20,0.17337887834765486,0.1454047546462344,0.6809270570657133,0.710126457638246,0.6802235402739163,0.0,0.0001901847960993947
21,0.1720271579007744,0.14565447371869733,0.6802120985691039,0.7096405302037552,0.6802985775788689,0.0,0.0001901847960993947
22,0.17441706609939278,0.1444932177986247,0.6825589510298898,0.7108007730838476,0.6807644437576329,0.0,0.0001901847960993947
23,0.1737268201367894,0.14453687155386044,0.6817707978290053,0.7108740733088965,0.6807732630432902,0.0,0.0001901847960993947
24,0.17367938942916844,0.14484533078483428,0.6804091272572481,0.7109351902412319,0.6808130250403033,0.0,0.0001901847960993947
25,0.1719364296462754,0.14412218570112187,0.6799009670109297,0.7108189234867132,0.6810426188996668,0.0,5.7055438829818405e-05
26,0.16993583995429107,0.14421072577395302,0.6811931931860714,0.7106211815880215,0.6811341107658146,0.0,5.7055438829818405e-05
27,0.17327607703981968,0.1445255451887,0.6816329152897802,0.7114888399741328,0.6810793396894306,0.0,5.7055438829818405e-05
28,0.1715802304726556,0.1444849775012626,0.681322733047908,0.7108795700271461,0.6810702530731476,0.0,1.711663164894552e-05
29,0.17300696454514516,0.14508991256381115,0.6800184309678479,0.7099142946910313,0.6809946271253497,0.0,1.711663164894552e-05
30,0.17471381326481267,0.14402558059246592,0.6819241318646476,0.7124962965674184,0.6810943346052432,0.0,1.711663164894552e-05
