candidate_id,seed,optuna_value_phase4,loss_name,best_avg_last_k_soft,best_epoch,best_val_soft,best_val_hard05,final_val_soft,final_val_hard05,ckpt_last_path
28,71,0.726977882308136,BCEDiceLoss,0.7413452480168694,30,0.7397834670364558,0.9142664664177743,0.7397834670364558,0.9142664664177743,seg_phase5/topk_retrain_no_simclr/trial_28/seed_71/last.pth
4,71,0.7249259254097541,BCEDiceLoss,0.7407836703520784,30,0.7455335207992484,0.8928206509958723,0.7455335207992484,0.8928206509958723,seg_phase5/topk_retrain_no_simclr/trial_4/seed_71/last.pth
30,13,0.728192136024991,BCEDiceLoss,0.740537771764701,26,0.7452122358527525,0.8940382751777693,0.7396310304660033,0.8901311897674268,seg_phase5/topk_retrain_no_simclr/trial_30/seed_13/last.pth
4,13,0.7249259254097541,BCEDiceLoss,0.7399089873289822,27,0.7451093823563475,0.8930869369554599,0.7390425661370432,0.8825424830583181,seg_phase5/topk_retrain_no_simclr/trial_4/seed_13/last.pth
21,71,0.7256698827771392,BCEDiceLoss,0.7392907518108619,28,0.7447550211456264,0.8976181122615858,0.7206828973030606,0.8729833204380061,seg_phase5/topk_retrain_no_simclr/trial_21/seed_71/last.pth
30,37,0.728192136024991,BCEDiceLoss,0.7392565365023724,26,0.7392610052889695,0.8908525613293624,0.7113639324555214,0.8970971567901427,seg_phase5/topk_retrain_no_simclr/trial_30/seed_37/last.pth
31,71,0.7254328376204024,BCEDiceLoss,0.7392134232826544,27,0.7422349451877835,0.8955636287770407,nan,0.17963272160060453,seg_phase5/topk_retrain_no_simclr/trial_31/seed_71/last.pth
30,71,0.728192136024991,BCEDiceLoss,0.7388019858591744,29,0.7389294330683693,0.9080002966826667,0.7287436808688016,0.9039662176559684,seg_phase5/topk_retrain_no_simclr/trial_30/seed_71/last.pth
76,13,0.7300503391649369,BCEDiceLoss,0.7387364633861487,26,0.7441399078436806,0.9025054813625418,0.731174932387914,0.9040289266579139,seg_phase5/topk_retrain_no_simclr/trial_76/seed_13/last.pth
76,71,0.7300503391649369,BCEDiceLoss,0.7385697345074907,29,0.7407720833071484,0.9107926179152698,0.7328764224191738,0.9022818362971579,seg_phase5/topk_retrain_no_simclr/trial_76/seed_71/last.pth
0,71,0.7248671761347091,BCEDiceLoss,0.7384345610437822,28,0.7414551669507733,0.8951596637301532,0.7364601295839376,0.8993376890884616,seg_phase5/topk_retrain_no_simclr/trial_0/seed_71/last.pth
63,71,0.7258016472816069,BCEDiceLoss,0.7383388802235035,30,0.7451847948992193,0.8989685469059793,0.7451847948992193,0.8989685469059793,seg_phase5/topk_retrain_no_simclr/trial_63/seed_71/last.pth
23,37,0.7261545405597838,BCEDiceLoss,0.738173566208857,20,0.7439646032696375,0.8848284732917314,0.7400165309691071,0.8967736976473081,seg_phase5/topk_retrain_no_simclr/trial_23/seed_37/last.pth
63,37,0.7258016472816069,BCEDiceLoss,0.7373039654051522,21,0.7398143242914011,0.9051367169031516,0.7319037264296925,0.9044906045638261,seg_phase5/topk_retrain_no_simclr/trial_63/seed_37/last.pth
21,13,0.7256698827771392,BCEDiceLoss,0.7372500893896529,30,0.7420437623941043,0.8988525979307935,0.7420437623941043,0.8988525979307935,seg_phase5/topk_retrain_no_simclr/trial_21/seed_13/last.pth
23,13,0.7261545405597838,BCEDiceLoss,0.7363915651857554,28,0.7391999170656793,0.8842971292879426,0.7221387389008709,0.8883733380318484,seg_phase5/topk_retrain_no_simclr/trial_23/seed_13/last.pth
23,71,0.7261545405597838,BCEDiceLoss,0.7362917090959858,24,0.7411619001019977,0.8904340808598545,0.7330814254900848,0.8950632548192905,seg_phase5/topk_retrain_no_simclr/trial_23/seed_71/last.pth
0,13,0.7248671761347091,BCEDiceLoss,0.7359035890785938,30,0.736642839327574,0.8972229969522934,0.736642839327574,0.8972229969522934,seg_phase5/topk_retrain_no_simclr/trial_0/seed_13/last.pth
28,13,0.726977882308136,BCEDiceLoss,0.7358984579173271,25,0.7407233179013598,0.8998298744924479,0.7393759504084993,0.8992715656657848,seg_phase5/topk_retrain_no_simclr/trial_28/seed_13/last.pth
4,37,0.7249259254097541,BCEDiceLoss,0.7353064365667572,23,0.742441942864945,0.8858969764339307,0.73319314984925,0.8993523181081813,seg_phase5/topk_retrain_no_simclr/trial_4/seed_37/last.pth
0,37,0.7248671761347091,BCEDiceLoss,0.7346745891763231,30,0.7369534809808971,0.8860561829658913,0.7369534809808971,0.8860561829658913,seg_phase5/topk_retrain_no_simclr/trial_0/seed_37/last.pth
31,13,0.7254328376204024,BCEDiceLoss,0.7346352653272562,26,0.7442920891689339,0.9022437087084495,0.7346858791596503,0.9033049030674121,seg_phase5/topk_retrain_no_simclr/trial_31/seed_13/last.pth
63,13,0.7258016472816069,BCEDiceLoss,0.733203099876493,18,0.7298795365132951,0.8834732823956988,0.7361046744407915,0.9069737878586096,seg_phase5/topk_retrain_no_simclr/trial_63/seed_13/last.pth
31,37,0.7254328376204024,BCEDiceLoss,0.7322437627521501,20,0.7279503646398426,0.8863275528750157,0.7117641251950909,0.8967046966735827,seg_phase5/topk_retrain_no_simclr/trial_31/seed_37/last.pth
21,37,0.7256698827771392,BCEDiceLoss,0.7318049432210413,16,0.7364283576931102,0.8911377945806029,0.732197095386572,0.8913793809027823,seg_phase5/topk_retrain_no_simclr/trial_21/seed_37/last.pth
