candidate_id,seed,optuna_value_phase4,loss_name,best_avg_last_k_soft,best_epoch,best_val_soft,best_val_hard05,final_val_soft,final_val_hard05,ckpt_last_path
54,37,0.7357608288656204,BCEDiceLoss,0.7462906944946166,30,0.7474824086768407,0.9015198390762973,0.7474824086768407,0.9015198390762973,seg_phase5/topk_retrain/trial_54/seed_37/last.pth
61,71,0.7354832334195082,BCEDiceLoss,0.7462251020734274,29,0.7464813316111859,0.9050355272044976,0.7438531662332818,0.9031685299944375,seg_phase5/topk_retrain/trial_61/seed_71/last.pth
55,37,0.7355705447752923,BCEDiceLoss,0.7459907545441162,30,0.7460714401747217,0.9025099754955415,0.7460714401747217,0.9025099754955415,seg_phase5/topk_retrain/trial_55/seed_37/last.pth
62,71,0.7353892440571511,BCEDiceLoss,0.7457337239417303,29,0.7447938586835157,0.9094731734094019,0.74458969383429,0.9050079823337869,seg_phase5/topk_retrain/trial_62/seed_71/last.pth
54,71,0.7357608288656204,BCEDiceLoss,0.7456302876487368,29,0.7458145808992139,0.9070451043884007,0.7450234527147697,0.9061944192559361,seg_phase5/topk_retrain/trial_54/seed_71/last.pth
55,71,0.7355705447752923,BCEDiceLoss,0.7453353368804789,30,0.7460411107964434,0.9019950650173486,0.7460411107964434,0.9019950650173486,seg_phase5/topk_retrain/trial_55/seed_71/last.pth
66,71,0.7352773127394677,BCEDiceLoss,0.7453037103514524,27,0.7431343933050824,0.9028653687747196,0.7400361117332371,0.9011672650435144,seg_phase5/topk_retrain/trial_66/seed_71/last.pth
81,37,0.7365898194353723,BCEDiceLoss,0.7452999782065655,30,0.7492220062163125,0.8988861228001983,0.7492220062163125,0.8988861228001983,seg_phase5/topk_retrain/trial_81/seed_37/last.pth
75,37,0.7357878136312672,BCEDiceLoss,0.7452651270471072,30,0.7451098510294294,0.9026821152396745,0.7451098510294294,0.9026821152396745,seg_phase5/topk_retrain/trial_75/seed_37/last.pth
64,13,0.7354883044461202,BCEDiceLoss,0.7452431802667105,30,0.7472680727749883,0.9066052807792849,0.7472680727749883,0.9066052807792849,seg_phase5/topk_retrain/trial_64/seed_13/last.pth
75,71,0.7357878136312672,BCEDiceLoss,0.7452424194055294,27,0.7466028987162612,0.9041707483079099,0.7459078693373723,0.9014463386198316,seg_phase5/topk_retrain/trial_75/seed_71/last.pth
62,37,0.7353892440571511,BCEDiceLoss,0.7452078693230654,30,0.7450882047739732,0.8949305765219987,0.7450882047739732,0.8949305765219987,seg_phase5/topk_retrain/trial_62/seed_37/last.pth
63,71,0.7353849595198361,BCEDiceLoss,0.7448449357234577,29,0.7446887738268841,0.9083638899714291,0.7430254608283102,0.9096960494436092,seg_phase5/topk_retrain/trial_63/seed_71/last.pth
