seed,t1,t2,epochs,steps_per_epoch,total_updates,warmup_steps,val_ratio_avg_last_k,val_ratio_best,val_ratio_last,train_loss_last,train_alignment_last,train_uniformity_last,train_ssim_last,wall_time_sec,final_ckpt_path
42,blur,blur,40,18,720,170,0.006583206562707404,0.0035309656848490937,0.0035309656848490937,0.036071436686648264,0.12362618744373322,-3.7577028274536133,nan,891.1090483665466,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+blur_final.pth
42,blur,color,40,18,720,170,0.06710416677433743,0.061058379175736546,0.06862624380142757,0.36769157979223466,0.3254603147506714,-3.5944385528564453,nan,1219.6313576698303,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+color_final.pth
42,blur,gray,40,18,720,170,0.012110421564020882,0.007136983217454201,0.01495149242603135,0.06606291958855258,0.1936074197292328,-3.737211227416992,nan,908.6854286193848,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+gray_final.pth
42,blur,hflip,40,18,720,170,0.008167213886128564,0.004116794095798243,0.00699478588643111,0.040234249292148486,0.13682124018669128,-3.757145881652832,nan,857.0720739364624,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+hflip_final.pth
42,blur,identity,40,18,720,170,0.007105909829616182,0.004323563977806904,0.004323563977806904,0.038733158053623304,0.12517060339450836,-3.7620534896850586,nan,812.1918666362762,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+identity_final.pth
42,blur,rotate,40,18,720,170,0.008081195887081765,0.004406272348754798,0.008308015809453102,0.03829172646833791,0.13070140779018402,-3.758180618286133,nan,872.5386230945587,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+rotate_final.pth
42,blur,vflip,40,18,720,170,0.007805145655550091,0.004582013375307259,0.006323683937791977,0.03755243236405982,0.13242527842521667,-3.756840705871582,nan,819.4562211036682,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_blur+vflip_final.pth
42,color,color,40,18,720,170,0.06248902593641363,0.05748545926815614,0.062257474037796544,0.33680809703138137,0.3032139539718628,-3.588080406188965,nan,987.2921042442322,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_color+color_final.pth
42,color,gray,40,18,720,170,0.06693261645099953,0.053583980582484536,0.06347796355830324,0.36208126445611316,0.2903187870979309,-3.5750017166137695,nan,1016.1924142837524,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_color+gray_final.pth
42,color,hflip,40,18,720,170,0.08286329704338553,0.07531787602131185,0.08146145231000151,0.4865713698996438,0.3225622773170471,-3.5641555786132812,nan,1012.5057818889618,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_color+hflip_final.pth
