,delta_late_mean_loss,delta_alignment,delta_uniformity
baseline,0.0,0.0,0.0
no_crop,-0.20019823200000006,-0.18425606191158295,-0.029615163803100586
no_jitter,-0.16839244600000006,-0.10156679525971413,-0.05451250076293945
no_rotation,-0.05552819500000006,-0.04154057800769806,-0.008474349975585938
no_gray,-0.04304379300000005,-0.027795463800430298,-0.006467342376708984
no_blur,-0.02065495100000006,-0.02714446932077408,-0.0023734569549560547
no_vflip,-0.006347826000000056,-0.004467926919460297,0.003278970718383789
no_hflip,-0.005885870000000043,0.004632435739040375,-0.0016262531280517578
