epoch,train_loss,val_soft,val_hard05,avg_last_k_soft,lr_enc,lr_dec
1,0.14910902733723802,0.7136995032494996,0.8496444582742516,0.7136995032494996,0.002379631225714802,0.00995937210265366
2,0.11225204123811126,0.726343144010286,0.8583177554797096,0.7200213236298928,0.002379631225714802,0.00995937210265366
3,0.10407181660902787,0.7278640396983203,0.869357592444587,0.7226355623193687,0.002379631225714802,0.00995937210265366
4,0.09645251845142294,0.7335898730493398,0.8540631147359617,0.7253741400018614,0.002379631225714802,0.00995937210265366
5,0.0952574089657935,0.7251508473687632,0.8636140319013437,0.7253294814752418,0.002379631225714802,0.00995937210265366
6,0.09367518788461014,0.7301137264788412,0.8839230910229167,0.7261268556425083,0.002379631225714802,0.00995937210265366
7,0.09051210197344856,0.7188669732125796,0.870761160694299,0.72508972958109,0.0007138893677144406,0.0029878116307960976
8,0.08057930385845719,0.7407692552379368,0.8899222792689008,0.7270496702881958,0.0007138893677144406,0.0029878116307960976
9,0.07920687636037105,0.7382892772622207,0.8883165141381,0.7282985155075319,0.0007138893677144406,0.0029878116307960976
10,0.07665426693434288,0.7413639936532409,0.899427779489406,0.7296050633221028,0.0007138893677144406,0.0029878116307960976
11,0.07616746037258568,0.7420020753962419,0.8917325541103424,0.7324353205367771,0.0007138893677144406,0.0029878116307960976
12,0.07546329278364239,0.7428779814940782,0.8973181894905506,0.7340888042851563,0.0007138893677144406,0.0029878116307960976
13,0.07505805613400453,0.7399721578680887,0.8785096608102322,0.735299616102133,0.0007138893677144406,0.0029878116307960976
14,0.07261492289116964,0.7406075675708851,0.8969770880496395,0.7360013855542876,0.0007138893677144406,0.0029878116307960976
15,0.07402171839680721,0.7454360385321995,0.8877148333259038,0.7380299046706312,0.0007138893677144406,0.0029878116307960976
16,0.07285745737481464,0.7444450056549622,0.8997533179717672,0.7394630325882434,0.0007138893677144406,0.0029878116307960976
17,0.07224434085882023,0.7422731321180653,0.8936794384494368,0.7418036484787921,0.0007138893677144406,0.0029878116307960976
18,0.07187379875123331,0.7431640564263464,0.8990093584655081,0.742043128597633,0.00021416681031433216,0.0008963434892388292
19,0.06900527930213238,0.7440398460750441,0.8993225205920914,0.7426181854789153,0.00021416681031433216,0.0008963434892388292
20,0.06851616987468798,0.7453061106436745,0.9043673886283086,0.7430123971779586,0.00021416681031433216,0.0008963434892388292
21,0.06823541389541961,0.7453172982828568,0.9020149160907529,0.74334391946662,6.425004309429964e-05,0.00026890304677164875
22,0.06736842304346707,0.7453414426537741,0.9010701361005967,0.7435902655825897,6.425004309429964e-05,0.00026890304677164875
23,0.0671390045663932,0.7460549152377318,0.9002568679582322,0.7441985413195541,6.425004309429964e-05,0.00026890304677164875
24,0.06688602112529339,0.7467144177948282,0.8962777319258267,0.7448092263419482,6.425004309429964e-05,0.00026890304677164875
25,0.06649785143772732,0.746808552115966,0.8962033561116025,0.744946477700325,6.425004309429964e-05,0.00026890304677164875
26,0.06659562477325819,0.7466720176849807,0.9010677083378319,0.7451691789033268,6.425004309429964e-05,0.00026890304677164875
27,0.06608301303187725,0.7474502195735526,0.8968400851133813,0.7456868876488756,6.425004309429964e-05,0.00026890304677164875
28,0.06621049365001017,0.7467933002102946,0.9026528802659746,0.7460498120272703,6.425004309429964e-05,0.00026890304677164875
29,0.06649018479821363,0.7464458055892969,0.9005452583248934,0.7462904079786956,6.425004309429964e-05,0.00026890304677164875
30,0.06705186795773319,0.747192056845984,0.9000835789269604,0.7464790025989265,1.9275012928289892e-05,8.067091403149463e-05
